Title,Art Type,Facility,Image,Artist,Artist Profile URL,Partnership,Description,Address,City,State,Postal Code,Source URL Text,Source URL ,latLong,isActive,imagePath
Birds Eye View,Architecture,Edenvale Park,,Barbara Grygutis,https://www.barbaragrygutis.com/,City of San Jose,"Birds Eye View is designed to highlight and emphasize the natural topography of the the park, following its shape without alteration. It is composed of two adjoining stairways, each ascending adjacent hills and terminating at the apex of each hill in a small plaza; the stairways join together in a larger plaza at the floor of the piece between the two hills. The steps rise in increments to form terracing that appears completely natural to its setting. The installation creates a fluid motion in stone, commencing at the top of one hill, flowing down to the base and then back up the second hill. The title of this artwork suggests the view from above: as seen from a bird’s eye view, the work references the shadow of a bird in flight as cast on the earth below. It is constructed with a local stone.",200 Edenvale Ave,San Jose,CA,95136,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32299,"-121.8194551,
          37.2593775",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Birds%20Eye%20View_Barbara%20Grygutis.jpeg
Blossom Hill Vine and Wonder Gate,"Architecture, Mural",Vineland Branch Library,,Debrorah Mersky,https://deborahmersky.com/,City of San Jose,"Blossom Hill Vine is two large glass windows at the library’s Marketplace. The glass is decorated with a series of images of local plants and historic artifacts painted in silver-leaf. The grapevine is a reminder of an earlier use of the neighboring land and the specific flowers were chosen on the basis of their geographic origin, a reference to the international nature of San José. The Wall of Wonder is a cut steel mural in the Children's Area, suggesting the limitless potential of a child's imagination and the role the library can play in encouraging exploration.",1450 Blossom Hill Rd,San Jose,CA,95118,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32301,"-121.8858162,
          37.2466622",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Blossom%20Hill%20Vine%20and%20Wonder%20Gate_%20Debrorah%20Mersky%20.jpeg
Cambrian BeeLine,"Architecture, Sculpture",Cambrian Branch Library,,Andrea Myklebust & Stanton Sears,http://www.myklebustsears.com/,City of San Jose,"This 80' artwork elegantly details the staircase and second floor balcony of this library. Each of the 21 water-jet cut stainless steel panels is unique with 74 unique cast glass and bronze sculptures, some with gold leaf, mounted along its length.  The narrative elements within the length of the artwork are drawn from the natural and social histories of the site. Themes of exploration and discovery are emphasized in a variety of ways, including the creation of a sight line game related to the title of the work. The repeated use of weaving (in representational forms, and in more abstract renderings of roadways and paths) is intended to suggest the complexity and organization of human knowledge. Likewise, the illustration of locally-cultivated fruits in grid patterns refers not only to the agricultural history of orchards near the site, but also to the gathering and categorization of information as it occurs in a library. Pastoral imagery dominates the work, remembering and celebrating ways of life which have largely vanished from the area.",1780 Hillsdale Ave.,San Jose,CA,95124,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32303,"-121.915459100038,
          37.2643327203436",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Cambrian%20Beeline_Andrea%20Myklebust%20_%20Stanton%20Sears.jpeg
Capiz,Architecture,JTC Northside Community Center,,Peter Molica,http://www.petermollica.com/,City of San Jose,"Capiz, a series of stained-glass artisan windows welcome all visitors entering the main foyer of the JTC Northside Community Center in San Jose.  Kaleidoscopic and delicate, the artwork references the rich history of the intricate art of stained glass making.  The tradition of colored glass can be traced back to ancient times: both the Egyptians and the Romans were skillful masters at the manufacture of small colored glass objects.  Early Christians inherited the ancient art form which consequently reached its height during the Romanesque and Gothic periods in Medieval Europe.",488 North 6th,San Jose,CA,95112,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32305,"-121.891267,
          37.3471033",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Capiz_Peter%20Molica.jpeg
Carpet of Leaves,Sculpture ,Meadowfair Park,,Cynthia Handel,,City of San Jose,"The artwork is a commemoration of the black walnut trees that once covered the area. The artwork, five cast concrete vessel seats with bronze leaf and seed elements cast into the top of each, creates a contemplative space within the park.  Inset bronze leaves, spirals and black walnut centers are placed at junctions along the pathways in the park. Cynthia Handel participated in the City of San José Public Art Program’s Artist’s Training Project in 1997. Following the workshop series, participants were invited to submit proposals for upcoming City-funded public art projects. Cynthia’s proposal for the upgrading of Meadowfair Park was one of the accepted proposals.",1865 Monrovia Dr,San Jose,CA,95121,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32307,"-121.8134026,
          37.3142534",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Carpet%20of%20Leaves_Cynthia%20Handel.jpeg
Center for Performing Arts Collection,Sculpture,Center for Performing Arts,,Various,,City of San Jose,"Title → Artist
California Bear → Benjamin Bufano
Dance Synthesis → Brian Holt
Momotaro (Peach Boy) → Donated by sister city Okayama, Japan
Untitled → Kenneth Matsumoto
",255 S Almaden Blvd,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2507/1396,"-121.891804966844,
          37.3300339827592",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Center%20for%20performing%20arts%20collection_Various%20Artists.jpeg
Chandelier and Collaboration with Pala Youth,Sculpture,Alum Rock Youth Center ,,Ries Niemi,https://www.riesniemi.com/,City of San Jose,"This work features drawings by youth from the surrounding middle and high schools rendered as metal panels decorating the opening gate, front doorway, and walls of the youth center. While the artist translated some of the drawings for a cohesive style, the artwork is still distinctively based on the youths’ artwork.  The shape of the chandelier, hanging in the oculus of the lobby, celebrate the themes of life with sculptural elements that look like DNA strands or plant forms.  The use of colored mirrors and gems, reflected by the embedded mirrors, change due to sunlight, thus causing the impact of the piece to shift throughout the day",149 N. White Rd,San Jose,CA,95127,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32311/636715231619000000," -121.8280622,
          37.3658911",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Chandelier%20and%20Collaboration%20with%20Pala%20Youth_Ries%20Niemi.jpeg
Chronos and Kairos,Sculpture,San Jose Airport Terminal B - Gate 19,,"Banny Banerjee, Matt Gorbet, Susan LK Gorbet and Margaret Orth",,City of San Jose,"Explore time through the movement of this suspended sculpture that breathes, ripples and reacts to passengers while maintaining its abacus-like counting pattern.  As each row completes its count, the movement is marked by the closing of a single element.  The counting then resumes until the total array closes; time stands still until the counting begins again.",1701 Airport Blvd.,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32321/636715765090400000," -121.9149771,
          37.3571484",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Chronos%20and%20KairosBanny%20Banerjee%2C%20Matt%20Gorbet%2C%20Susan%20LK%20Gorbet%20and%20Margaret%20Orth.jpeg
Circle of Heroes,Sculpture,Gardner Community Center,,Stephen Farley,,City of San Jose,"In collaboration with the members of the Gardner community, artist Stephen Farley developed and completed 18 photographic panels that celebrate past, present and future heroes of the Gardner neighborhood. The twelve 3’ x 10’ panels encircle the plaza and six flank the entry to the community center. The artist invited community members to share their photographs with him in order to create the artwork.",520 W Virginia St,San Jose,CA,95125,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32313," -121.895808336075,
          37.3200185099399",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Circle%20of%20Heroes_Stephen%20Farley.jpeg
Circles and Stars,"Sculpture, Architecture",Starbird Youth Center,,Johanna Poethig,,City of San Jose,"This artwork is a series of colorful metal figures of neighborhood kids balancing on the entryway trellis in a composition of circles and shadows. The work energizes and enlivens the Starbird Youth Center. The installation depicts the youth engaged in a range of timeless activities: reading, playing music, skateboarding, soccer, hula hooping, and more. Additional hoops are scattered over the entryway trellis, casting shadow patterns that move with the sun.",1050 Boynton Avenue,San Jose,CA,95117,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2515/1396," -121.965947,
          37.307603",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Circles%20and%20Stars_Johanna%20Poethig.jpeg
Civic Stage Set,Sculpture,Park Ave. adjacent to the Tech Museum,,David Bottini,,City of San Jose,This bright geometric abstract piece is located by the Tech Museum on Park Avenue. It was created by contemporary Northern California sculptor David Bottini who works in the styles of pure abstraction and neo-constructivism.,201 S. Market Street,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32315," -121.888989981001,
          37.3318121175576",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Civic%20Stage%20SetDavid%20Bottini.jpeg
"Coatlique Shopping, Tula Sentries, & Mandalas",Sculpture,Plaza de San Jose Shopping Center,,Einar and Jamex de la Torre,https://www.delatorrebrothers.art/,City of San Jose,"The San José Public Art Program in association with project developer Blake Hunt Ventures, commissioned Einar and Jamex de la Torre to collaborate with the community in the creation of artwork for the Story & King Development. The artists created three different artworks, positioned in locations throughout the shopping center parking lot and also on the front and side wall of the Target store. The three distinct works make reference to historic Mexican art forms while integrating the artists' distinct and often humorous take on contemporary culture.  The de la Torre brothers incorporate time-honored styles such as Mexican folk art and  symbols of Catholicism as well as universal subjects such gender roles and cultural integration. As a result, viewers of their work are able to place one foot in the worlds of pre-Columbian Mexico while the other is planted firmly in contemporary society",Story and King Road,San Jose,CA,95122,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32317," -121.8430265,
          37.3398803",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Coatlique%20Shopping%2C%20Tula%20Sentries%2C%20_%20Mandalas_Einar%20and%20Jamex%20de%20la%20Torre.jpeg
Commemoration of the Founding of the Pueblo San Jose de Guadalupe,Sculpture,Gore Park,,East Los Streetscapers,,City of San Jose,"The founding of the Pueblo San José de Guadalupe on November 29, 1777 established San José as California’s first civil community, supplying necessary agricultural products for the presidios and missions of San Francisco and Monterey. This project honors a pioneer settlement and its founders and the beginnings of a continuous migration of people who have come to this region from north, south, east, and west. The migration is represented through four columns placed at each point of the compass. Each triangle shaped column has cast relief images on the outside walls and a tile mural on the inner face. Polished granite slabs top each of the columns with a descriptive title for the art on the face of the column. A tile floor map depicts the trek of the original settlers from the Sonora desert to what is today the city of San José.",S 1st St & S Market St,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32319," -121.892064,
          37.335318",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Commemoration%20of%20the%20Founding%20of%20the%20Pueblo%20San%20Jose%20de%20Guadalupe_East%20Los%20Streetscapers.jpeg
Commemoration to Carol Murdock,Sculpture,"Dr. Martin Luther King, Jr. Public Library",,Linda Rosenus Walsh,,City of San Jose,"This artwork can be found near the South entryway of the Murdock Park.  The artist created a group of tree guards and a bench, all made of cast bronze with a light green patina.",Castle Glenn Ave @ Wunderlich,San Jose,CA,95129,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32407," -122.000031,
          37.302498",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Commemoration%20to%20Carol%20Murdock_Linda%20Rosenus%20Walsh.jpeg
CONNECTED: Silicon Valley + Bangalore,Photography,San Jose International Airport Terminal B,,Angela Buenning Filo,,City of San Jose,Bangalore and Silicon Valley are distant yet interconnected.  This photographic installation explores how each landscape has been transformed by technology booms and global economic trends.,1701 Airport Boulevard,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32321/636715765090400000," -121.9149771,
          37.3571484",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/CONNECTED-%20Silicon%20Valley%20%2B%20Bangalore_Angela%20Buenning%20Filo.jpeg
Convergence,Sculpture,San Jose Repertory Theater,,Jun Kaneko,https://www.junkaneko.com/,City of San Jose,"The artist, Jun Kaneko, calls these curvilinear ceramic pieces “dangos,” meaning dumplings in Japanese. These dangos are made of thick clay and covered in decorative glazes. When constructing these massive ceramic pieces, Kaneko starts building from the bottom up. He layers slabs of clay to shape the walls allowing the bottom to dry as he builds up to the top. Then he must fire the whole structure in a kiln without cracking or breaking it. Kaneko hopes that his sculptures will spark a dialogue around what he refers to as “spiritual space.” He uses the analogy of comparing a 70 story skyscraper to a 3000 meter high mountain to explain how understanding of scale changes based on environment. The public will observe this relationship between scale and environment when standing next to these grand seven foot tall sculptures.",101 Paseo De San Antonio,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32323," -121.885655,
          37.333667",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Convergence_Jun%20Kaneko.jpeg
Corriente de Agua,Sculpture,Los Lagos Golf Course,,Michael Davis,https://www.mad-art.com/,City of San Jose,"The Los Lagos Golf Course is an eighteen-hole course located along fourteen miles of the Coyote Creek. Corriente de Agua (Water Current) is intended as a transitional piece between landscapes and recalls the history of the Coyote Creek. The installation is comprised of several parts including three water features, a covered seating area, and a unique golf ball washer.  Water from the creek flows into a series of water features starting with a circular pool in which water continuously drips from a bamboo pipe disturbing the tranquil surface of the water. A second pool is at the center of this feature formed by a weir (a small overflow dam used to alter the flow of a river or stream). Water flows over the edge of the weir to a natural pond below decorated  with mud-like imprints of animal tracks, plant impressions, and human marks.  A bench made of concrete, sandstone, and granite sits next to the water features and is decorated with the image of ripples in a pool. The steel canopy’s leaf and animal silhouettes cast a dappled light effect on the bench.  The ball washer is activated like a drinking fountain. The spiral motion of the golf ball as it is washed acts as a meditative and focusing activity for golfers",2995 Tuers Rd.,San Jose,CA,95121,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32325,"-121.826710426706,
          37.3019782039941",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Corriente%20de%20Agua_Michael%20Davis.jpeg
Cultivate Your Mind in the Orchard of Knowledge,"Architecture, Sculpture",Santa Teresa Branch Library,,Beatrice Coron,https://www.beatricecoron.com/,City of San Jose,"The artwork consists of three separate artwork: The Tree of Knowledge includes three glass panes in the window wall that runs the length of the Library's main lobby. The artwork builds on the idea of age rings in the cross-section of a tree trunk: images in each concentric ring speak to a specific period of history and growth in the region, from the earliest period of indigenous inhabitants to the present. Bibliotree is sculptural element in the form of a tall flourishing tree made of water jet cut steel. The cut outs in the trunk are letters from the alphabets of the many languages contained in the Library's collection. On the lower branches of the tree are books and objects associated with reading; these continue onto the higher branches, which also contain objects representing newer forms of media. In this way the work suggests a developmental progression: the roots of language in letters and alphabets flourish into literature and on into other media. Orchard Walk, 26 thematic sidewalk insets made of stainless steel and flamed granite, are embedded in the concrete along the walkway that runs between Santa Teresa Blvd. and the Library entrance. The insets each feature the title of a literary, media or music reference, each with a different fruit in the title along with the author’s, director’s or composer’s name and a corresponding fruit image. The titles were drawn from world literature and media as well as items in the Library collection. Orchard Walk also includes a ""welcome mat"" in the main entrance to the Library. It contains whimsical images of two people, male and female, tending a garden and framed in the words ""Cultivate Your Mind in the Orchard of Knowledge,"" the artist’s unifying theme for the group of artworks.",290 International Circle,San Jose,CA,95119,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32327,"-121.799277494936,
          37.2402129644134",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Cultivate%20Your%20Mind%20in%20the%20Orchard%20of%20Knowledge_Beatrice%20Coron.jpeg
Cultivating Community,Sculpture,Tropicana Shopping Center,,Valerie Raps,,City of San Jose,"Cultivating Community was created in partnership with Don Imwalle and Imwalle Stegner Development, the property developer and the San Jose Redevelopment Agency.  The artwork is part of a larger, comprehensive project, the Alum Rock Cultural History Corridor (ARCHC), which seeks to celebrate the rich cultural history of east San Jose through artworks and other elements. Raps’ sculpture is in the form of a life size 'spring-tooth harrow', an iconic piece of farm equipment used to cultivate the land by aerating the soil with curved ‘tines’ that turn the soil as the harrow is pulled along. The sculpture depicts ten human arms cast in bronze replace the harrow’s curved 'tines', miming the harrow’s purpose but with human hands turning the soil. The sculpture thus symbolically depicts the many human hands that worked the fields and speaks to the agricultural work and hard physical labor that has been such an important part of the community. It further suggests the idea of cultural diversity and the power of people working together to build community.  The arms in the artwork are castings of real community members, underscoring the artwork’s connection to the area and to this community (see fact sheet for detail). Each person has a real connection to the idea represented in the work.",1163 S. King Rd. & Story Rd.,San Jose,CA,95122,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32329,"-121.8443308, 37.3386156",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Cultivating%20Community_Valerie%20Raps.jpeg
Discoveries,Sculpture,Evergreen Branch Library,,Larry Kirkland,https://larrykirkland.com/,City of San Jose,"Located in the viewing garden that spans the northeast facade of the library, Larry Kirkland’s sculpture speaks of the human potential for learning and exploration through our senses. According to the artist: “What unites all people is our search to understand our world and existence.  From the moment we are born we begin the process of discovery that continues throughout our lives.  For that reason I have decided to title the sculptures Discoveries. ""The concept of the pieces was to suggest the universal human potential for exploration and learning through our senses.The three large white marble stones were found in Carrara, Italy in the same place where Michelangelo sourced stone for his carvings over 500 years ago. The carving of the stones into an ear, mouth, and eye, show the human forms emerging out of the rough hewn boulders. It is a balance of the beauty of the natural stone and the beautiful carving of the human forms.",2635 Aborn Road,San Jose,CA,95121,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32331," -121.79589727505,
          37.31380315",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Discoveries_Larry%20Kirkland.jpeg
